video_id,audio_method,face_detection,audio_threshold,visual_threshold,top_percentile,window_lead,window_tail,true_peaks,ai_windows_after_audio,ai_windows_after_visual,recall_pct,noise_pct,pruned_pct
wQA68Oqr1qE,spectral_flux,True,0.4,200,0.15,45,15,13,7,3,53.8,33.3,53.0
8PtsKRBgLrA,spectral_flux,True,0.4,200,0.15,45,15,13,2,2,100.0,50.0,5.5
Tqsz6fjvhZM,spectral_flux,True,0.4,200,0.15,45,15,14,2,1,7.1,0.0,94.2
z12bz7adLKI,spectral_flux,True,0.4,200,0.15,45,15,13,4,2,46.2,50.0,73.4
EiL5bMvDkNA,spectral_flux,True,0.4,200,0.15,45,15,13,1,0,0.0,0.0,100.0
VgxHwN6qZxo,spectral_flux,True,0.4,200,0.15,45,15,13,1,0,0.0,0.0,100.0
ikr-zKaxSF0,spectral_flux,True,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
pzPCJj1U8bE,spectral_flux,True,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
GxLa6rdww8g,spectral_flux,True,0.4,200,0.15,45,15,14,3,2,7.1,50.0,82.6
pjSxOnCkHIA,spectral_flux,True,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.2
g1T8-WSYcdI,spectral_flux,True,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
0guSWBSO8lo,spectral_flux,True,0.4,200,0.15,45,15,13,4,2,15.4,50.0,50.6
_fWyWcZB7VA,spectral_flux,True,0.4,200,0.15,45,15,14,6,0,0.0,0.0,100.0
0bGQ_I5NXXo,spectral_flux,True,0.4,200,0.15,45,15,13,2,2,100.0,50.0,4.5
Ug-nsXBgCJk,spectral_flux,True,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.2
4JB24wITVEU,spectral_flux,True,0.4,200,0.15,45,15,13,2,2,100.0,50.0,2.1
5Q5QWdR42Is,spectral_flux,True,0.4,200,0.15,45,15,13,1,1,100.0,0.0,1.9
pqnhlrlrfmw,spectral_flux,True,0.4,200,0.15,45,15,14,22,15,71.4,60.0,40.9
IEfBBYmxtIo,spectral_flux,True,0.4,200,0.15,45,15,14,17,12,42.9,66.7,54.6
IcAV5qiko8M,spectral_flux,True,0.4,200,0.15,45,15,14,19,0,0.0,0.0,100.0
DZ6q5X7fAmU,spectral_flux,True,0.4,200,0.15,45,15,13,2,2,100.0,0.0,0.8
t8HrZTLRCeU,spectral_flux,True,0.4,200,0.15,45,15,14,10,3,35.7,33.3,88.2
MIoNEQeC7_s,spectral_flux,True,0.4,200,0.15,45,15,13,1,1,61.5,0.0,19.2
qxXYC15dmpc,spectral_flux,True,0.4,200,0.15,45,15,14,7,4,50.0,0.0,73.8
lbMs5zG4TbM,spectral_flux,True,0.4,200,0.15,45,15,13,2,2,84.6,0.0,12.2
MoBkkw66NWY,spectral_flux,True,0.4,200,0.15,45,15,14,6,0,0.0,0.0,100.0
ewKEe8pL8_w,spectral_flux,True,0.4,200,0.15,45,15,13,1,1,100.0,0.0,2.3
wdGLOmdpq_k,spectral_flux,True,0.4,200,0.15,45,15,13,1,0,0.0,0.0,100.0
4Z-KLkjICoY,spectral_flux,True,0.4,200,0.15,45,15,14,4,4,100.0,0.0,4.1
5hHM3LdKcRY,spectral_flux,True,0.4,200,0.15,45,15,14,2,1,64.3,0.0,34.5
yZMFBsYyJL0,spectral_flux,True,0.4,200,0.15,45,15,14,1,1,100.0,0.0,0.0
igUiMu6sZm0,spectral_flux,True,0.4,200,0.15,45,15,14,1,1,100.0,0.0,0.2
wQA68Oqr1qE,spectral_flux,False,0.4,200,0.15,45,15,13,7,6,69.2,33.3,22.9
8PtsKRBgLrA,spectral_flux,False,0.4,200,0.15,45,15,13,2,2,100.0,50.0,5.5
Tqsz6fjvhZM,spectral_flux,False,0.4,200,0.15,45,15,14,2,2,7.1,50.0,92.5
z12bz7adLKI,spectral_flux,False,0.4,200,0.15,45,15,13,4,3,69.2,33.3,56.3
EiL5bMvDkNA,spectral_flux,False,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.1
VgxHwN6qZxo,spectral_flux,False,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
ikr-zKaxSF0,spectral_flux,False,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
pzPCJj1U8bE,spectral_flux,False,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
GxLa6rdww8g,spectral_flux,False,0.4,200,0.15,45,15,14,3,3,100.0,33.3,1.5
pjSxOnCkHIA,spectral_flux,False,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.2
g1T8-WSYcdI,spectral_flux,False,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
0guSWBSO8lo,spectral_flux,False,0.4,200,0.15,45,15,13,4,4,100.0,25.0,5.3
_fWyWcZB7VA,spectral_flux,False,0.4,200,0.15,45,15,14,6,0,0.0,0.0,100.0
0bGQ_I5NXXo,spectral_flux,False,0.4,200,0.15,45,15,13,2,2,100.0,50.0,4.5
Ug-nsXBgCJk,spectral_flux,False,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.2
4JB24wITVEU,spectral_flux,False,0.4,200,0.15,45,15,13,2,2,100.0,50.0,2.1
5Q5QWdR42Is,spectral_flux,False,0.4,200,0.15,45,15,13,1,1,100.0,0.0,1.9
pqnhlrlrfmw,spectral_flux,False,0.4,200,0.15,45,15,14,22,22,100.0,59.1,14.6
IEfBBYmxtIo,spectral_flux,False,0.4,200,0.15,45,15,14,17,17,71.4,52.9,39.5
IcAV5qiko8M,spectral_flux,False,0.4,200,0.15,45,15,14,19,0,0.0,0.0,100.0
DZ6q5X7fAmU,spectral_flux,False,0.4,200,0.15,45,15,13,2,2,100.0,0.0,0.8
t8HrZTLRCeU,spectral_flux,False,0.4,200,0.15,45,15,14,10,3,35.7,33.3,88.2
MIoNEQeC7_s,spectral_flux,False,0.4,200,0.15,45,15,13,1,1,61.5,0.0,19.2
qxXYC15dmpc,spectral_flux,False,0.4,200,0.15,45,15,14,7,6,71.4,0.0,58.4
lbMs5zG4TbM,spectral_flux,False,0.4,200,0.15,45,15,13,2,2,84.6,0.0,12.2
MoBkkw66NWY,spectral_flux,False,0.4,200,0.15,45,15,14,6,0,0.0,0.0,100.0
ewKEe8pL8_w,spectral_flux,False,0.4,200,0.15,45,15,13,1,1,100.0,0.0,2.3
wdGLOmdpq_k,spectral_flux,False,0.4,200,0.15,45,15,13,1,1,100.0,0.0,1.2
4Z-KLkjICoY,spectral_flux,False,0.4,200,0.15,45,15,14,4,4,100.0,0.0,4.1
5hHM3LdKcRY,spectral_flux,False,0.4,200,0.15,45,15,14,2,1,64.3,0.0,34.5
yZMFBsYyJL0,spectral_flux,False,0.4,200,0.15,45,15,14,1,1,100.0,0.0,0.0
igUiMu6sZm0,spectral_flux,False,0.4,200,0.15,45,15,14,1,1,100.0,0.0,0.2
wQA68Oqr1qE,rms,True,0.4,200,0.15,45,15,13,4,1,30.8,0.0,88.3
8PtsKRBgLrA,rms,True,0.4,200,0.15,45,15,13,1,0,0.0,0.0,100.0
Tqsz6fjvhZM,rms,True,0.4,200,0.15,45,15,14,5,3,28.6,33.3,69.8
z12bz7adLKI,rms,True,0.4,200,0.15,45,15,13,3,2,53.8,0.0,27.3
EiL5bMvDkNA,rms,True,0.4,200,0.15,45,15,13,2,1,61.5,0.0,24.9
VgxHwN6qZxo,rms,True,0.4,200,0.15,45,15,13,1,0,0.0,0.0,100.0
ikr-zKaxSF0,rms,True,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
pzPCJj1U8bE,rms,True,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
GxLa6rdww8g,rms,True,0.4,200,0.15,45,15,14,1,0,0.0,0.0,100.0
pjSxOnCkHIA,rms,True,0.4,200,0.15,45,15,13,1,0,0.0,0.0,100.0
g1T8-WSYcdI,rms,True,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
0guSWBSO8lo,rms,True,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
_fWyWcZB7VA,rms,True,0.4,200,0.15,45,15,14,1,0,0.0,0.0,100.0
0bGQ_I5NXXo,rms,True,0.4,200,0.15,45,15,13,1,0,0.0,0.0,100.0
Ug-nsXBgCJk,rms,True,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
4JB24wITVEU,rms,True,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
5Q5QWdR42Is,rms,True,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
pqnhlrlrfmw,rms,True,0.4,200,0.15,45,15,14,1,1,100.0,0.0,0.0
IEfBBYmxtIo,rms,True,0.4,200,0.15,45,15,14,1,0,0.0,0.0,100.0
IcAV5qiko8M,rms,True,0.4,200,0.15,45,15,14,1,0,0.0,0.0,100.0
DZ6q5X7fAmU,rms,True,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.1
t8HrZTLRCeU,rms,True,0.4,200,0.15,45,15,14,1,0,0.0,0.0,100.0
MIoNEQeC7_s,rms,True,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
qxXYC15dmpc,rms,True,0.4,200,0.15,45,15,14,2,0,0.0,0.0,100.0
lbMs5zG4TbM,rms,True,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
MoBkkw66NWY,rms,True,0.4,200,0.15,45,15,14,3,1,14.3,0.0,92.3
ewKEe8pL8_w,rms,True,0.4,200,0.15,45,15,13,2,2,100.0,0.0,1.9
wdGLOmdpq_k,rms,True,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
4Z-KLkjICoY,rms,True,0.4,200,0.15,45,15,14,1,1,100.0,0.0,0.1
5hHM3LdKcRY,rms,True,0.4,200,0.15,45,15,14,1,0,0.0,0.0,100.0
yZMFBsYyJL0,rms,True,0.4,200,0.15,45,15,14,1,1,100.0,0.0,0.0
igUiMu6sZm0,rms,True,0.4,200,0.15,45,15,14,1,0,0.0,0.0,100.0
wQA68Oqr1qE,rms,False,0.4,200,0.15,45,15,13,4,4,100.0,0.0,11.6
8PtsKRBgLrA,rms,False,0.4,200,0.15,45,15,13,1,1,100.0,0.0,2.4
Tqsz6fjvhZM,rms,False,0.4,200,0.15,45,15,14,5,5,50.0,40.0,60.6
z12bz7adLKI,rms,False,0.4,200,0.15,45,15,13,3,3,100.0,0.0,9.3
EiL5bMvDkNA,rms,False,0.4,200,0.15,45,15,13,2,2,100.0,0.0,1.0
VgxHwN6qZxo,rms,False,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
ikr-zKaxSF0,rms,False,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
pzPCJj1U8bE,rms,False,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
GxLa6rdww8g,rms,False,0.4,200,0.15,45,15,14,1,1,100.0,0.0,0.0
pjSxOnCkHIA,rms,False,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.2
g1T8-WSYcdI,rms,False,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
0guSWBSO8lo,rms,False,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
_fWyWcZB7VA,rms,False,0.4,200,0.15,45,15,14,1,0,0.0,0.0,100.0
0bGQ_I5NXXo,rms,False,0.4,200,0.15,45,15,13,1,0,0.0,0.0,100.0
Ug-nsXBgCJk,rms,False,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
4JB24wITVEU,rms,False,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
5Q5QWdR42Is,rms,False,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
pqnhlrlrfmw,rms,False,0.4,200,0.15,45,15,14,1,1,100.0,0.0,0.0
IEfBBYmxtIo,rms,False,0.4,200,0.15,45,15,14,1,1,100.0,0.0,0.0
IcAV5qiko8M,rms,False,0.4,200,0.15,45,15,14,1,0,0.0,0.0,100.0
DZ6q5X7fAmU,rms,False,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.1
t8HrZTLRCeU,rms,False,0.4,200,0.15,45,15,14,1,0,0.0,0.0,100.0
MIoNEQeC7_s,rms,False,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
qxXYC15dmpc,rms,False,0.4,200,0.15,45,15,14,2,2,100.0,50.0,0.2
lbMs5zG4TbM,rms,False,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
MoBkkw66NWY,rms,False,0.4,200,0.15,45,15,14,3,2,28.6,0.0,72.4
ewKEe8pL8_w,rms,False,0.4,200,0.15,45,15,13,2,2,100.0,0.0,1.9
wdGLOmdpq_k,rms,False,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
4Z-KLkjICoY,rms,False,0.4,200,0.15,45,15,14,1,1,100.0,0.0,0.1
5hHM3LdKcRY,rms,False,0.4,200,0.15,45,15,14,1,0,0.0,0.0,100.0
yZMFBsYyJL0,rms,False,0.4,200,0.15,45,15,14,1,1,100.0,0.0,0.0
igUiMu6sZm0,rms,False,0.4,200,0.15,45,15,14,1,0,0.0,0.0,100.0
wQA68Oqr1qE,mfcc,True,0.4,200,0.15,45,15,13,1,0,0.0,0.0,100.0
8PtsKRBgLrA,mfcc,True,0.4,200,0.15,45,15,13,1,0,0.0,0.0,100.0
Tqsz6fjvhZM,mfcc,True,0.4,200,0.15,45,15,14,1,0,0.0,0.0,100.0
z12bz7adLKI,mfcc,True,0.4,200,0.15,45,15,13,1,0,0.0,0.0,100.0
EiL5bMvDkNA,mfcc,True,0.4,200,0.15,45,15,13,1,0,0.0,0.0,100.0
VgxHwN6qZxo,mfcc,True,0.4,200,0.15,45,15,13,2,1,15.4,0.0,93.3
ikr-zKaxSF0,mfcc,True,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
pzPCJj1U8bE,mfcc,True,0.4,200,0.15,45,15,13,3,1,46.2,0.0,42.2
GxLa6rdww8g,mfcc,True,0.4,200,0.15,45,15,14,1,0,0.0,0.0,100.0
pjSxOnCkHIA,mfcc,True,0.4,200,0.15,45,15,13,2,2,84.6,0.0,1.8
g1T8-WSYcdI,mfcc,True,0.4,200,0.15,45,15,13,1,1,100.0,0.0,1.2
0guSWBSO8lo,mfcc,True,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
_fWyWcZB7VA,mfcc,True,0.4,200,0.15,45,15,14,2,0,0.0,0.0,100.0
0bGQ_I5NXXo,mfcc,True,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
Ug-nsXBgCJk,mfcc,True,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
4JB24wITVEU,mfcc,True,0.4,200,0.15,45,15,13,1,1,100.0,0.0,1.8
5Q5QWdR42Is,mfcc,True,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
pqnhlrlrfmw,mfcc,True,0.4,200,0.15,45,15,14,17,12,85.7,58.3,20.7
IEfBBYmxtIo,mfcc,True,0.4,200,0.15,45,15,14,5,4,42.9,50.0,55.8
IcAV5qiko8M,mfcc,True,0.4,200,0.15,45,15,14,5,0,0.0,0.0,100.0
DZ6q5X7fAmU,mfcc,True,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.1
t8HrZTLRCeU,mfcc,True,0.4,200,0.15,45,15,14,3,0,0.0,0.0,100.0
MIoNEQeC7_s,mfcc,True,0.4,200,0.15,45,15,13,1,0,0.0,0.0,100.0
qxXYC15dmpc,mfcc,True,0.4,200,0.15,45,15,14,2,2,100.0,0.0,0.6
lbMs5zG4TbM,mfcc,True,0.4,200,0.15,45,15,13,1,0,0.0,0.0,100.0
MoBkkw66NWY,mfcc,True,0.4,200,0.15,45,15,14,1,0,0.0,0.0,100.0
ewKEe8pL8_w,mfcc,True,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
wdGLOmdpq_k,mfcc,True,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
4Z-KLkjICoY,mfcc,True,0.4,200,0.15,45,15,14,15,15,78.6,46.7,11.7
5hHM3LdKcRY,mfcc,True,0.4,200,0.15,45,15,14,4,2,85.7,0.0,18.6
yZMFBsYyJL0,mfcc,True,0.4,200,0.15,45,15,14,3,3,100.0,33.3,0.4
igUiMu6sZm0,mfcc,True,0.4,200,0.15,45,15,14,2,2,100.0,0.0,1.9
wQA68Oqr1qE,mfcc,False,0.4,200,0.15,45,15,13,1,0,0.0,0.0,100.0
8PtsKRBgLrA,mfcc,False,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
Tqsz6fjvhZM,mfcc,False,0.4,200,0.15,45,15,14,1,0,0.0,0.0,100.0
z12bz7adLKI,mfcc,False,0.4,200,0.15,45,15,13,1,0,0.0,0.0,100.0
EiL5bMvDkNA,mfcc,False,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.7
VgxHwN6qZxo,mfcc,False,0.4,200,0.15,45,15,13,2,2,100.0,0.0,4.5
ikr-zKaxSF0,mfcc,False,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
pzPCJj1U8bE,mfcc,False,0.4,200,0.15,45,15,13,3,1,46.2,0.0,42.2
GxLa6rdww8g,mfcc,False,0.4,200,0.15,45,15,14,1,1,100.0,0.0,0.0
pjSxOnCkHIA,mfcc,False,0.4,200,0.15,45,15,13,2,2,84.6,0.0,1.8
g1T8-WSYcdI,mfcc,False,0.4,200,0.15,45,15,13,1,1,100.0,0.0,1.2
0guSWBSO8lo,mfcc,False,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
_fWyWcZB7VA,mfcc,False,0.4,200,0.15,45,15,14,2,0,0.0,0.0,100.0
0bGQ_I5NXXo,mfcc,False,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
Ug-nsXBgCJk,mfcc,False,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
4JB24wITVEU,mfcc,False,0.4,200,0.15,45,15,13,1,1,100.0,0.0,1.8
5Q5QWdR42Is,mfcc,False,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
pqnhlrlrfmw,mfcc,False,0.4,200,0.15,45,15,14,17,16,92.9,62.5,7.4
IEfBBYmxtIo,mfcc,False,0.4,200,0.15,45,15,14,5,5,100.0,40.0,1.0
IcAV5qiko8M,mfcc,False,0.4,200,0.15,45,15,14,5,1,0.0,100.0,96.4
DZ6q5X7fAmU,mfcc,False,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.1
t8HrZTLRCeU,mfcc,False,0.4,200,0.15,45,15,14,3,1,7.1,0.0,97.5
MIoNEQeC7_s,mfcc,False,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
qxXYC15dmpc,mfcc,False,0.4,200,0.15,45,15,14,2,2,100.0,0.0,0.6
lbMs5zG4TbM,mfcc,False,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.1
MoBkkw66NWY,mfcc,False,0.4,200,0.15,45,15,14,1,1,100.0,0.0,0.0
ewKEe8pL8_w,mfcc,False,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
wdGLOmdpq_k,mfcc,False,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
4Z-KLkjICoY,mfcc,False,0.4,200,0.15,45,15,14,15,15,78.6,46.7,11.7
5hHM3LdKcRY,mfcc,False,0.4,200,0.15,45,15,14,4,3,85.7,33.3,12.9
yZMFBsYyJL0,mfcc,False,0.4,200,0.15,45,15,14,3,3,100.0,33.3,0.4
igUiMu6sZm0,mfcc,False,0.4,200,0.15,45,15,14,2,2,100.0,0.0,1.9
